name,code,level,parent_code
"Nigerian Air Force",NAF,HQ,
"CAS OFFICE",CAS-OFFICE,HQ,NAF
"DIRECT REPORTING UNITS",DRU,HQ,NAF
"HQ TACTICAL AIR COMMAND",HQ-TAC,COMMAND,NAF
"HQ SPECIAL OPERATIONS COMMAND",HQ-SOC,COMMAND,NAF
"HQ MOBILITY COMMAND",HQ-MOB,COMMAND,NAF
"HQ AIR TRAINING COMMAND",HQ-ATC,COMMAND,NAF
"HQ GROUND TRAINING COMMAND",HQ-GTC,COMMAND,NAF
"HQ LOGISTICS COMMAND",HQ-LOG,COMMAND,NAF
"Air Expo Int’l & Liaison Secretariat",AEILS,UNIT,CAS-OFFICE
"Project Implementation & Monitoring Coordinator",PIMC,UNIT,CAS-OFFICE
"NAF Ombudsman",OMBUDSMAN,UNIT,CAS-OFFICE
"Air Safety and Standard Centre",ASSC,UNIT,DRU
"Airpower Centre of Excellence",APCE,UNIT,DRU
"AFIT",AFIT,UNIT,DRU
"AFRDC",AFRDC,UNIT,DRU
"NAFIL GP",NAFIL-GP,UNIT,DRU
"NAFIL LTD",NAFIL-LTD,UNIT,NAFIL-GP
"NAFILHCC",NAFILHCC,UNIT,NAFIL-GP
"NAFIL PROP",NAFIL-PROP,UNIT,NAFIL-GP
"AETSL",AETSL,UNIT,NAFIL-GP
"NADC",NADC,UNIT,DRU
"AWC NAF",AWC-NAF,UNIT,DRU
"NAF Works Centre",NAF-WORKS,UNIT,DRU
"NAF RC",NAF-RC,UNIT,DRU
"011 PAF",011-PAF,UNIT,DRU
"013 QRF",013-QRF,UNIT,DRU
"21 QRW",21-QRW,UNIT,013-QRF
"22 QRW",22-QRW,UNIT,013-QRF
"23 QRW",23-QRW,UNIT,013-QRF
"015 SIG",015-SIG,UNIT,DRU
"041 CD",041-CD,UNIT,DRU
"051 PMG",051-PMG,UNIT,DRU
"053 NAF CAMP",053-NAF-CAMP,UNIT,DRU
"055 NAF CAMP",055-NAF-CAMP,UNIT,DRU
"057 PIG",057-PIG,UNIT,DRU
"061 AEROMEDICAL CENTRE",061-AEROMEDICAL,UNIT,DRU
"063 SPECIALIST HOSPITAL",063-SPECIALIST-HOSPITAL,UNIT,DRU
"081 PAG",081-PAG,UNIT,DRU
"NAFSMS & AVN MED",NAFSMS-AVN-MED,UNIT,DRU
"NAFCONS",NAFCONS,UNIT,DRU
"101 ADG",101-ADG,UNIT,HQ-TAC
"103 STG",103-STG,UNIT,HQ-TAC
"115 SOG",115-SOG,UNIT,HQ-TAC
"NAF FOB UGAGA OGOJA",NAF-FOB-UGAGA-OGOJA,UNIT,HQ-TAC
"105 CG",105-CG,UNIT,HQ-TAC
"107 AMG",107-AMG,UNIT,HQ-TAC
"109 CRG",109-CRG,UNIT,HQ-TAC
"119 FOB",119-FOB,UNIT,HQ-TAC
"120 FPG",120-FPG,UNIT,HQ-TAC
"131 ENGR GP",131-ENGR-GP,UNIT,HQ-TAC
"141 COMMS GP",141-COMMS-GP,UNIT,HQ-TAC
"151 BSG",151-BSG,UNIT,HQ-TAC
"153 BSG",153-BSG,UNIT,HQ-TAC
"155 BSG",155-BSG,UNIT,HQ-TAC
"161 NAFH",161-NAFH,UNIT,HQ-TAC
"163 NAFH",163-NAFH,UNIT,HQ-TAC
"156 FOB",156-FOB,UNIT,HQ-TAC
"157 FOB",157-FOB,UNIT,HQ-TAC
"173 NAF DET",173-NAF-DET,UNIT,HQ-TAC
"175 NAF DET",175-NAF-DET,UNIT,HQ-TAC
"1201 FPW",1201-FPW,UNIT,HQ-TAC
"1202 FPW",1202-FPW,UNIT,HQ-TAC
"201 CG",201-CG,UNIT,HQ-SOC
"203 ISR GP",203-ISR-GP,UNIT,HQ-SOC
"25 FPW",25-FPW,UNIT,HQ-SOC
"207 QRG",207-QRG,UNIT,HQ-SOC
"211 REGT GP",211-REGT-GP,UNIT,HQ-SOC
"212 FPG",212-FPG,UNIT,HQ-SOC
"213 FOB",213-FOB,UNIT,HQ-SOC
"215 FOB",215-FOB,UNIT,HQ-SOC
"217 FOB",217-FOB,UNIT,HQ-SOC
"231 HOD",231-HOD,UNIT,HQ-SOC
"251 BSG",251-BSG,UNIT,HQ-SOC
"261 NAFRH",261-NAFRH,UNIT,HQ-SOC
"263 NAFRH",263-NAFRH,UNIT,HQ-SOC
"301 HAG",301-HAG,UNIT,HQ-MOB
"303 MAG",303-MAG,UNIT,HQ-MOB
"305 SMG",305-SMG,UNIT,HQ-MOB
"307 EAG",307-EAG,UNIT,HQ-MOB
"341 COMMS GP",341-COMMS-GP,UNIT,HQ-MOB
"351 BSG",351-BSG,UNIT,HQ-MOB
"320 FOB",320-FOB,UNIT,HQ-MOB
"401 FTS",401-FTS,UNIT,HQ-ATC
"403 FTS",403-FTS,UNIT,HQ-ATC
"405 HCTG",405-HCTG,UNIT,HQ-ATC
"407 ACTG",407-ACTG,UNIT,HQ-ATC
"410 CFS",410-CFS,UNIT,HQ-ATC
"413 FPG",413-FPG,UNIT,HQ-ATC
"431 ENGR GP",431-ENGR-GP,UNIT,HQ-ATC
"441 COMMS GP",441-COMMS-GP,UNIT,HQ-ATC
"453 BSG",453-BSG,UNIT,HQ-ATC
"455 BSG",455-BSG,UNIT,HQ-ATC
"461 NAFH",461-NAFH,UNIT,HQ-ATC
"465 NAFH",465-NAFH,UNIT,HQ-ATC
"ATSTC",ATSTC,UNIT,HQ-ATC
"Central Avionics Overhaul Calibration Centre (CAOCC)",CAOCC,UNIT,HQ-ATC
"IHFS",IHFS,UNIT,HQ-ATC
"NAFSAINT",NAFSAINT,UNIT,HQ-ATC
"NAFIS",NAFIS,UNIT,HQ-ATC
"4131 FPW",4131-FPW,UNIT,HQ-ATC
"4135 FPW",4135-FPW,UNIT,HQ-ATC
"541 COMMS GP",541-COMMS-GP,UNIT,HQ-GTC
"551 NAF STN",551-NAF-STN,UNIT,HQ-GTC
"553 BSG",553-BSG,UNIT,HQ-GTC
"563 NAFH",563-NAFH,UNIT,HQ-GTC
"MTC",MTC,UNIT,HQ-GTC
"NAFIAM",NAFIAM,UNIT,HQ-GTC
"NASFA",NASFA,UNIT,HQ-GTC
"RTC",RTC,UNIT,HQ-GTC
"RTC ANNEX",RTC-ANNEX,UNIT,HQ-GTC
"SNCOs L & MA",SNCOS-L-MA,UNIT,HQ-GTC
"613 FPG",613-FPG,WING,HQ-LOG
"6041 FPW",6041-FPW,UNIT,613-FPG
"6043 FPW",6043-FPW,UNIT,613-FPG
"6045 FPW",6045-FPW,UNIT,613-FPG
"6047 FPW",6047-FPW,UNIT,613-FPG
"6141 FPW",6141-FPW,UNIT,613-FPG
"631 ACMD",631-ACMD,UNIT,HQ-LOG
"633 CAD",633-CAD,UNIT,HQ-LOG
"641 COMS GP",641-COMS-GP,UNIT,HQ-LOG
"643 ESD",643-ESD,UNIT,HQ-LOG
"651 BSG",651-BSG,UNIT,HQ-LOG
"655 BSW",655-BSW,UNIT,HQ-LOG
"653 NAF STN",653-NAF-STN,UNIT,HQ-LOG
"661 NAFH",661-NAFH,UNIT,HQ-LOG
"663 NAFMCH",663-NAFMCH,UNIT,HQ-LOG
"671 NAF STN",671-NAF-STN,UNIT,HQ-LOG